Time,Open,High,Low,Last,Change,%Chg,Volume
02/10/2021,3.8537,3.8589,3.8486,3.8537,0.0001,0.00%,1824
02/09/2021,3.8635,3.8643,3.8524,3.8536,-0.01,-0.26%,1807
02/08/2021,3.8707,3.8725,3.8602,3.8636,-0.0061,-0.16%,1857
02/05/2021,3.8781,3.8825,3.8674,3.8697,-0.0084,-0.22%,1830
02/04/2021,3.8666,3.8791,3.8624,3.8781,0.0115,+0.30%,1813
02/03/2021,3.8662,3.8783,3.8638,3.8666,0.0003,+0.01%,1818
02/02/2021,3.8643,3.8702,3.8603,3.8663,0.0019,+0.05%,1827
02/01/2021,3.8533,3.8667,3.788,3.8644,0.0123,+0.32%,1840
01/29/2021,3.8629,3.8658,3.848,3.8521,-0.0108,-0.28%,1823
01/28/2021,3.8664,3.872,3.8601,3.8629,-0.0034,-0.09%,1828
01/27/2021,3.8604,3.87,3.8596,3.8663,0.0059,+0.15%,1825
01/26/2021,3.8649,3.8682,3.8572,3.8604,-0.0044,-0.11%,1826
01/25/2021,3.8657,3.8674,3.8593,3.8648,0.0012,+0.03%,1838
01/22/2021,3.8558,3.8693,3.8558,3.8636,0.0079,+0.20%,1820
01/21/2021,3.8595,3.8629,3.8541,3.8557,-0.0037,-0.10%,1824
01/20/2021,3.8647,3.8661,3.8584,3.8594,-0.0052,-0.13%,1812
01/19/2021,3.881,3.881,3.8623,3.8646,-0.0166,-0.43%,1803
01/18/2021,3.8781,3.884,3.8023,3.8812,0.0063,+0.16%,1836
01/15/2021,3.861,3.8761,3.8588,3.8749,0.014,+0.36%,1801
01/14/2021,3.8664,3.8711,3.8576,3.8609,-0.0057,-0.15%,1797
01/13/2021,3.87,3.877,3.8591,3.8666,-0.0034,-0.09%,1781
01/12/2021,3.8817,3.888,3.8688,3.87,-0.0117,-0.30%,1774
01/11/2021,3.8824,3.8861,3.8019,3.8817,0.0015,+0.04%,1822
01/08/2021,3.8746,3.8847,3.8702,3.8802,0.0056,+0.14%,1786
01/07/2021,3.8566,3.879,3.8517,3.8746,0.018,+0.47%,1818
01/06/2021,3.8537,3.8597,3.8487,3.8566,0.0029,+0.08%,1808
01/05/2021,3.8521,3.8628,3.8449,3.8537,0.0016,+0.04%,1810
01/04/2021,3.8604,3.8604,3.7794,3.8521,-0.015,-0.39%,1849
12/31/2020,3.8591,3.8681,3.8514,3.8671,0.0078,+0.20%,1787
12/30/2020,3.8709,3.8723,3.8545,3.8593,-0.0116,-0.30%,1782
12/29/2020,3.8844,3.8867,3.8672,3.8709,-0.0135,-0.35%,1797
12/28/2020,3.8664,3.8888,3.787,3.8844,0.0163,+0.42%,1766
